"k","ncluster","alpha"
175,10,4.87666141514429
166,20,10.3871463701931
192,12,6.0160612236773
188,18,8.41813226423164
174,12,7.28879169432093
157,11,3.57475156641506
131,8,3.1228372432312
188,14,3.50992050051952
198,13,9.17846295905873
137,16,4.85331715632689
156,11,3.45996251013569
199,10,2.95556017520085
198,8,2.37596764061726
178,16,4.88601413635571
167,13,4.59222949203336
151,7,1.41470932626483
200,9,3.16588705553563
124,7,1.59762564536195
162,13,2.88995440533784
190,15,8.50086692094628
198,13,4.97436879954304
194,13,12.1983642338886
156,10,2.4126333127884
188,10,3.00368329582424
172,13,3.5872698462099
177,11,4.2793446236503
157,11,5.45407607709689
101,8,3.39480159081007
174,13,4.99775716241795
199,15,5.06274379149098
195,8,4.26687986989476
112,7,2.27501700105976
147,8,2.61265117190029
184,11,7.13871279301465
173,9,3.92901143402364
117,9,1.65111901398201
170,10,3.71347654157069
190,12,3.49604439747572
189,15,6.6716714392949
167,12,7.324476057079
104,8,2.93031440920318
126,9,2.54313637325779
51,6,1.4744621205304
72,6,1.86327636327572
151,10,5.03330757365076
154,14,3.94450277759978
199,13,3.82581283094937
190,12,7.16775471648314
165,11,4.78526737042009
159,10,5.65728074883542
134,12,3.56010333133244
179,16,6.28537117446334
194,14,6.32155523596947
192,14,5.97844585756947
164,10,4.74014347418145
120,8,2.20547502822107
171,9,4.4453345907678
149,10,3.95118194558755
87,12,4.35691428266317
89,11,5.86944173748555
70,12,5.17918231460102
129,10,2.51129278037627
183,9,2.73892520597932
175,11,7.47021800617542
168,11,5.69412858656482
152,7,3.13746182858685
102,6,3.60454929817117
166,9,2.6117657561933
192,8,2.37685185034
165,9,3.92754166545997
121,13,5.94259191279968
154,18,8.73884353432653
141,10,2.27796824001725
176,11,4.84670985055775
199,14,4.89306953469081
181,9,4.13982433103471
168,10,1.60754837481251
189,9,2.91114174468619
196,11,6.66453111743198
185,12,4.52322310467691
179,14,3.40429581872
200,10,4.82393217289429
194,11,4.31543456782775
186,10,3.59748362355823
175,8,5.35129128754647
142,11,3.4343563049325
185,11,6.5636190765974
185,13,3.15609572255059
149,14,5.35388262618149
70,7,3.26489274050144
145,7,5.58380681530132
200,11,3.12505646493978
184,12,5.57838838590889
188,11,2.20125057914442
173,13,5.01024726469768
181,8,2.97291178655272
104,9,4.89191471224267
75,8,2.69829785359198
188,11,3.71169349697517
183,6,1.40490220914168
172,8,3.32608796070571
155,9,5.30121319952555
142,7,2.42096287680081
193,13,7.07088304653681
190,9,4.48212957289349
148,14,7.10041679274076
195,9,3.24670345732167
192,12,6.30924090751279
185,12,2.65531156709779
133,10,3.21129215824402
195,11,5.86315251295897
189,18,8.21813809224193
142,11,3.05466980484009
187,8,1.35528620165694
96,8,1.4992052458721
160,12,5.08406719438972
181,12,2.96724021407416
197,13,3.91933221902579
159,11,4.94925768672011
191,11,5.37706721376068
160,7,5.06373652527081
193,13,5.42910286767173
123,11,4.63807475801927
121,11,3.84360687158802
133,14,8.9071369457851
102,17,6.15288031968314
178,8,1.96476371875429
199,13,4.89746764910363
175,16,12.5910168936971
180,9,4.58825161291445
151,11,3.01149956783639
192,21,7.70532789067926
188,11,2.36989819996178
197,11,5.05029295291063
118,9,3.83040587813381
182,12,4.311712946417
186,10,2.26901863162305
199,9,2.18050383160955
169,10,2.72879035312032
192,8,1.1541735888103
178,8,1.68739097455359
193,14,3.92150957296812
198,13,3.50167492508258
150,15,4.47754654235615
179,10,3.50303874786534
189,11,2.91764635457927
179,9,2.00887323214143
130,14,5.54695047187909
184,12,4.82473692043482
133,18,9.47613573800166
180,17,9.18192143276079
142,10,4.52364003658478
64,6,1.93537424255805
81,8,2.48442504913981
192,9,5.47659880495636
191,7,4.06223068087363
172,11,3.48353163224322
137,8,1.63009739933279
162,11,2.92975643746813
126,12,4.47392086423243
196,12,3.6591507627059
165,11,4.50439894871582
174,11,4.456155333963
178,12,3.50263766300385
177,14,4.04720998808189
173,13,3.83684092991527
188,11,3.64410424909636
183,14,7.82750495416557
123,14,4.99501016820414
197,10,3.53507006621859
155,8,2.54949145785658
196,15,6.98507109684993
141,9,2.51814240474649
191,11,3.98142531121388
98,8,4.43570939850713
102,12,5.32155701870951
77,11,2.55116173524585
64,4,0.939983409169447
67,6,3.68630591072732
56,7,2.37897614677732
141,8,3.81543033365522
181,10,4.4790599809382
194,7,2.34700250467402
185,9,2.06138644419251
197,15,7.87519635984055
156,9,3.09163991969144
194,7,2.98767424862629
195,7,3.65820306520581
191,7,1.5845296600587
150,12,4.78718313053426
108,10,3.27809721736826
196,11,5.89521920327686
114,13,5.21128205696415
195,13,4.86342810514847
196,14,4.47417318851835
147,8,2.19142564588751
156,13,4.27435304348707
198,18,10.3449679032506
181,14,6.6636712723646
110,14,2.37229244138444
199,9,3.77798002545142
200,8,2.97407315417825
162,10,4.27271119165714
164,13,6.64166900586017
167,11,4.90470760241002
167,11,3.01986379980988
121,13,4.32599276775301
187,8,3.69464895831178
76,6,1.04623036578528
49,12,9.09130606524346
80,9,3.3940669151731
182,8,1.43778551694479
53,6,2.99174981515181
97,15,8.22147175676297
98,8,5.29724527811088
166,11,4.01728553693136
117,11,2.59995822721781
200,10,3.29151071815765
130,10,4.63634820180762
188,13,6.21382917307879
176,12,3.20344075606034
147,11,2.69316310135668
152,7,2.89615039816924
155,14,6.78811219990399
195,7,2.08626608336751
184,11,2.68246558493088
