"k","ncluster","alpha"
83,13,4.16294491036256
93,26,10.0502845194708
88,17,5.13946378344397
89,14,5.2286963964073
92,10,4.86922688109904
72,13,2.50286296588315
90,16,3.18015947024194
80,22,7.480117625314
98,27,12.4551823918188
67,15,3.46357089618084
67,10,3.00199182401373
81,13,3.17769569920332
71,13,3.38613531882902
82,20,6.68981306107869
58,14,4.12792349629774
86,12,2.87472903300485
99,20,7.30260211248625
67,13,4.21851568357769
90,15,3.58798351957715
91,14,4.77374886606825
80,24,9.76559374879851
83,27,8.67187891025436
87,9,2.58463335934475
70,24,8.07489996911369
94,22,7.22790933456377
69,16,3.95111405963611
85,25,11.3844918734021
77,24,9.91815462708443
56,18,5.74616583053664
77,15,3.82645647109077
77,15,6.19475691469422
91,17,5.91728179207495
69,27,8.46729685005694
68,20,6.35675925711788
58,13,4.95849480333229
54,14,5.05774471027011
60,19,9.12347981248377
100,11,3.60806764551354
97,11,4.28729325745746
92,7,1.64003633356578
83,9,2.57356959773485
93,15,4.88382479485595
89,13,3.42001608296114
44,11,2.607509539728
35,9,2.25934862198014
39,12,3.90001240223597
58,21,6.78986828129693
91,17,5.20643132198164
60,19,4.90059692439189
92,13,5.7204747853792
91,16,4.73969637128102
84,12,4.41700593702042
95,16,4.39929518373611
68,9,2.35843461127766
62,17,8.82585587595294
96,17,4.10448945943441
84,23,8.13767818056902
77,20,6.29526329217273
66,15,2.97672495916155
78,12,4.6699049316086
81,12,2.90244058721489
84,10,2.78110525819603
69,17,6.68990341102041
96,19,5.12037809948624
97,18,5.08280748885
68,24,7.70991244137708
96,16,5.14473523519419
84,22,6.78750755454219
86,18,8.0567840842329
86,22,10.5995302647049
95,21,9.00270278769419
85,34,15.9374524318892
90,16,6.12781160447061
62,27,13.3355682288052
81,17,5.43171017757088
65,13,3.8474773639259
89,13,5.65284001117833
90,15,4.16108358023448
99,23,5.4145728237972
92,20,5.45074041771064
76,17,6.47264616746538
82,8,3.33504484454785
39,14,7.56860877824123
56,11,2.82904623644905
85,17,4.89451024032816
80,10,2.96910440739616
59,15,3.96039878155507
78,19,5.80969861293117
59,15,2.57700094290226
92,17,9.95315989186371
83,22,4.98904141698819
75,9,2.16035303428785
87,10,2.01474724294146
