"k","ncluster","alpha"
189,16,3.89759334123381
176,13,6.33082354766332
170,17,5.16416517142989
181,16,3.63685974931751
195,15,2.35979627617803
183,13,2.72303268690746
199,15,2.29974669024071
196,18,3.97564907584208
190,18,4.7448138218219
167,12,3.36047867001862
176,22,7.21832856480417
185,15,4.41952396166697
200,18,3.53446082355574
181,17,4.25258794288588
168,21,9.70286309544826
198,19,6.31644837303574
194,14,3.61048467352367
196,13,2.23903300233402
160,11,3.40367424434974
196,11,1.96172948883771
199,19,3.43217521371065
195,20,6.38794370863325
200,20,8.50003634773839
180,12,4.37641299797286
199,11,2.82568419648754
174,17,4.9438763106957
200,14,3.14447504131794
194,18,5.92573166693473
177,15,6.17791455900276
187,11,3.01148304168809
186,9,1.90595042813882
199,20,9.06148020262393
200,17,2.79447451302632
180,22,8.38860611003843
196,24,8.00746173478576
171,13,4.27515566046682
194,14,3.66142740530149
193,11,2.59611340079184
197,15,3.86856016526365
181,10,3.23536358732968
200,12,3.18026224830298
200,11,1.83102477710162
188,23,5.30208253121596
196,18,5.99714592171795
165,17,5.31950146852434
180,21,5.40828745001595
168,16,2.09426639344843
179,14,2.28478931268047
189,14,4.7909095459417
196,11,2.17237860640318
199,16,3.64360109776799
154,13,3.0785324636754
195,10,3.6262651082181
182,13,2.00732044251119
182,18,7.09994210627045
182,18,4.38642601626107
178,14,4.03905194343878
188,14,4.09270889119779
185,14,4.68476671660187
189,18,5.18798558204167
199,14,1.65414693050369
194,16,3.54891964896745
190,23,8.78667921783191
198,14,3.45603127851625
168,15,2.36226644501131
158,17,4.7772248802374
196,18,6.91878106189339
183,21,4.37187526537585
199,22,8.48587614021851
192,17,4.93462239015849
181,20,5.5779782303341
183,25,7.86045364336326
190,19,2.93518624059569
195,20,5.39829017019891
152,21,5.10272987386467
187,18,5.80357590388912
178,13,1.53040171070993
186,14,3.48690409021845
187,14,2.63928035775241
195,11,2.40883772941203
177,18,5.13863610319746
200,16,4.3274500634142
173,10,1.83945375178126
187,10,1.91460567347756
190,18,3.45033689831063
193,20,7.15662023750624
198,18,3.47669915697225
198,17,5.05470719516853
190,15,4.27452964546984
171,20,3.8970382691676
173,18,4.9041048994878
192,12,4.06605038942697
173,10,1.18296479891579
194,18,2.81084056517627
192,16,2.91267650241634
179,12,2.79394689167464
200,12,4.76233320289146
178,11,1.28947215160428
179,10,3.07558511584014
184,14,3.20291200085616
190,13,5.81462871021836
198,12,3.07057625793423
169,14,2.24217995687208
198,12,4.016742378831
192,14,3.55538649571118
189,15,5.14439572723686
170,15,6.90213287346182
191,12,3.349852637914
168,10,1.6589610427655
192,19,2.82305162136907
178,17,5.2900213730392
196,13,4.22622263102068
161,15,4.10302700275486
189,16,3.5418521146623
197,15,2.70174859773242
191,17,2.71175554912271
190,16,3.63863096776685
179,10,1.91670401095892
197,15,4.14557551344343
194,16,2.91784595509043
172,9,1.40522816113152
184,13,3.31430608704195
180,12,4.27594784615518
179,17,3.5348934162599
188,17,3.02015808787625
169,11,3.48913893439738
175,21,6.47072594168785
200,17,5.64297431155076
193,9,2.20534234426357
170,16,4.00592041136484
195,13,2.53524164376833
163,13,3.02169363495201
141,14,2.63858402097083
200,12,2.48823450609207
187,13,5.41782602345242
196,19,5.57140024276816
190,16,3.82286533630275
199,16,2.69469343438338
196,13,3.49463563957224
170,11,3.8634285097633
183,16,4.71042402464648
170,24,7.32707201269869
199,11,1.97955418823042
162,18,3.29381729917908
178,13,4.67007894151109
182,13,4.04654020427817
183,12,3.26346083666193
182,8,1.06025616312188
177,13,2.84695003310584
176,11,2.04978843283724
161,17,5.20732254483375
179,14,2.52364017148444
191,14,4.60401288326355
185,17,4.27326641671322
182,13,3.11164725192004
180,15,1.46735089435727
154,13,2.02564961572991
180,11,2.50845981037373
199,15,2.57746636759436
199,15,3.10668647673696
191,12,1.85604342094571
171,15,2.98504610607006
156,11,1.77767554731994
183,10,1.92828212185639
200,18,5.38201840641127
179,15,3.62900917287568
198,17,4.41717424387421
183,15,1.99554081059106
194,11,5.30347981089594
157,13,3.05312883083404
195,18,3.65314208986231
176,12,3.6853161514999
196,14,3.2608026833694
191,18,5.94446902485654
193,17,3.57840260518162
161,16,3.1129610267647
196,11,0.880940884766708
173,11,2.53808411218507
126,12,3.04163989054784
178,12,5.38239912284852
195,18,6.3629988603789
178,13,2.35220265380213
193,15,3.62399622086872
187,10,4.41266829124165
200,13,4.75592604791817
189,23,6.87126798430378
177,20,4.52306844318697
199,29,11.4173590102864
144,18,5.25291629434089
170,20,4.39749487169307
