"k","ncluster","alpha"
150,10,4.8411248159791
136,11,2.55262245295096
118,10,4.15185343765118
76,4,0.931297502524587
79,10,6.48921617086855
95,8,4.39546106901107
148,9,1.74716475803071
90,10,3.66594277936052
140,10,2.23406253506681
125,12,5.49249732831952
91,10,3.37921869523114
111,8,2.53919500828231
100,4,0.848484270783603
141,8,3.94163547302075
123,13,3.90577421597928
116,10,3.53822766663857
82,12,4.43880970473644
127,18,6.6211799412732
132,10,4.15025117729396
149,13,3.4693475541003
131,9,0.967818138288259
124,10,4.62703171419836
133,19,7.37709721275365
144,15,7.70835073872751
146,12,4.34386859475621
129,8,2.52288411171027
139,15,3.46602287377581
95,8,1.85355909073637
144,7,8.06631012369024
101,9,3.30877351612166
134,15,6.38638206732584
135,12,3.9156619191411
121,13,8.02628409459596
150,18,12.9764042312062
140,14,7.85158359564546
120,11,3.43871358177538
121,8,1.40701018043174
89,11,2.02949802514635
111,11,3.57864274348849
147,14,5.10426449473478
135,9,1.73273524522068
131,13,5.0104826886054
64,8,3.79819858630264
50,7,2.30283347618497
132,12,4.2266296839414
93,9,1.97804659437611
129,21,7.61268936097331
139,12,6.66152248302335
149,11,4.88155312368889
112,14,7.95788212631134
129,12,1.74384309783274
75,9,1.72099114461185
132,15,4.77730848544482
147,11,2.61900545532667
149,11,3.69496375692692
148,12,2.94481239212498
133,12,6.30957207890961
75,8,3.78927655440931
64,6,2.69617207890968
109,10,1.87703963346745
61,4,1.37413814374123
88,4,0.267754064678121
115,12,5.75609192893812
143,8,1.98188337735281
133,9,2.2794034792386
113,6,2.31638594711633
92,9,4.47211383708651
137,10,3.15522248704543
126,11,3.56570717689347
96,8,1.51498890264354
65,8,2.75228782176229
142,10,3.9530461054137
133,11,6.04443939257363
45,6,2.19746393274507
40,3,1.17714874889408
64,11,6.24020122138539
47,3,1.59138523020187
62,5,1.84833224165834
66,7,1.77314179866396
127,6,1.1804380281519
59,14,6.02162943249208
129,16,4.61466853705448
111,7,2.55179047248924
104,7,2.4563627880684
142,9,2.06469545535696
79,7,1.44703984544537
47,12,6.58406321465049
60,5,4.28210581769245
98,11,3.42070976638003
121,12,11.8894071739137
125,8,1.85482235229419
142,10,3.21228090684019
147,9,2.470789482269
110,10,5.06119826593671
62,15,5.28555185682618
138,8,1.86557450044575
87,8,4.76178945334365
146,9,1.93989351434653
148,20,9.80238464240925
144,10,1.95853525278768
148,12,2.80759997071277
103,10,4.09557990161096
127,14,4.95698021762339
135,14,3.45932896532517
117,13,5.10502386775993
132,19,13.996213227805
110,14,6.01077158529153
121,21,9.62882944922999
149,17,7.32216886884362
129,11,5.47772299261512
81,10,4.45041603362151
108,5,0.432293074695867
139,9,3.08866654837657
131,9,3.41829521167325
121,12,7.28443405781446
90,11,2.51853811022295
55,10,3.44144039889988
72,7,2.17963300333892
92,7,2.33676257695967
